学校代号,学校名称,是否双一流,分数线,位次,百分位
5031,重庆医科大学,No,599,48675,8.54861437294504
3401,安徽财经大学,No,599,48716,8.471582902771257
3115,上海电力大学,No,599,48879,8.165335838421795
1421,山西师范大学,No,599,48983,7.969938938468768
6301,青海大学,Yes,599,49093,7.76326914044152
4305,长沙理工大学,No,598,49169,7.620479098168154
3448,淮北师范大学,No,598,49329,7.319868482855796
1232,天津师范大学,No,598,49353,7.274776890558943
4441,广东医科大学,No,598,49441,7.109441052137155
3113,上海第二工业大学,No,598,49464,7.0662282761860045
5110,成都医学院,No,598,49641,6.7336777829967165
4014,湖北工业大学,No,598,49687,6.647252231094414
4425,华南农业大学,No,598,49761,6.508219821512451
2302,东北石油大学,No,598,49873,6.297792390793799
3516,福建中医药大学,No,598,49974,6.108031939877878
0003,浙江工业大学（入选“2011计划”高校）（省重点建设高校）,No,598,50068,5.931423203381869
3622,江西理工大学,No,597,50174,5.732268670737439
0020,杭州师范大学（省重点建设高校）,No,597,50261,5.568811648661343
2116,大连外国语大学,No,597,50287,5.5199624236730855
2151,沈阳建筑大学,No,597,50338,5.424142790042275
1135,北京物资学院,No,597,50415,5.279473931423206
4414,广东药科大学,No,597,50432,5.247534053546266
2159,沈阳医学院,No,597,50497,5.1254109910756185
2155,沈阳农业大学,No,597,50507,5.106622827618601
6215,西北师范大学,No,597,50515,5.091592296852987
4445,广东海洋大学,No,597,50535,5.054015969938941
6409,宁夏医科大学,No,597,50588,4.9544387036167254
3642,景德镇陶瓷大学,No,597,50778,4.597463597933304
4208,河南工业大学,No,597,50859,4.445279473931418
3127,上海海洋大学,Yes,597,51080,4.030061061531232
1138,北京信息科技大学,No,596,51214,3.7782996712071415
5148,中国民用航空飞行学院,No,596,51279,3.6561766087364944
2245,长春中医药大学,No,596,51388,3.451385627054959
3301,江苏师范大学,No,596,51449,3.336777829967119
1330,河北师范大学,No,596,51566,3.116956317519959
1216,天津工业大学,Yes,596,51567,3.115077501174257
3235,金陵科技学院,No,596,51603,3.047440112728983
3760,烟台大学,No,596,51756,2.7599812118365374
5111,成都中医药大学,Yes,596,51821,2.6378581493659015
5003,四川外国语大学,No,596,51838,2.6059182714889606
5321,云南师范大学,No,596,51929,2.434945984030057
3144,上海商学院,No,596,51954,2.387975575387502
6130,西安理工大学,No,596,52001,2.2996712071394976
4029,湖北师范大学,No,596,52009,2.2846406763738836
3702,滨州医学院,No,595,52254,1.8243306716768437
